id,date,ASNumber,UUID,TestTime,CongestionControl,MeanThroughputMbps,MinRTT,LossRate,ClientIP,StartTime,EndTime,DownloadUUID,duration
ndt-virtual-7kz8g_1686340292_00000000000864F7,2023-06-28,15557.0,ndt-virtual-7kz8g_1686340292_00000000000864F7,2023-06-28 09:18:58.844070 UTC,bbr,23.78053814707513,3.204,0.0015610858158715,77.204.198.90,2023-06-28 09:18:58.844045 UTC,2023-06-28 09:19:13.845078 UTC,ndt-virtual-7kz8g_1686340292_00000000000864F7,0 days 00:00:15.001033
ndt-virtual-r56bf_1686333810_00000000000C6B02,2023-06-28,14593.0,ndt-virtual-r56bf_1686333810_00000000000C6B02,2023-06-28 21:31:51.775179 UTC,bbr,0.916846620741368,59.957,0.1018825293712751,149.19.165.69,2023-06-28 21:31:51.775137 UTC,2023-06-28 21:32:06.775294 UTC,ndt-virtual-r56bf_1686333810_00000000000C6B02,0 days 00:00:15.000157
ndt-virtual-vnwrx_1686339095_00000000000DAAB7,2023-06-28,14852.0,ndt-virtual-vnwrx_1686339095_00000000000DAAB7,2023-06-28 13:02:13.031988 UTC,bbr,1.214714822180044,15.832,0.0,129.9.75.199,2023-06-28 13:02:13.031925 UTC,2023-06-28 13:02:28.031957 UTC,ndt-virtual-vnwrx_1686339095_00000000000DAAB7,0 days 00:00:15.000032
ndt-virtual-ct58s_1686332689_00000000000BAFB4,2023-06-28,22616.0,ndt-virtual-ct58s_1686332689_00000000000BAFB4,2023-06-28 01:43:17.764883 UTC,bbr,1.7592122548599092,1.88,0.0,136.226.50.199,2023-06-28 01:43:17.764848 UTC,2023-06-28 01:43:32.765865 UTC,ndt-virtual-ct58s_1686332689_00000000000BAFB4,0 days 00:00:15.001017
ndt-virtual-xdlz5_1686334800_00000000001CC991,2023-06-28,24309.0,ndt-virtual-xdlz5_1686334800_00000000001CC991,2023-06-28 05:31:06.187728 UTC,bbr,2.581064104884119,34.181,0.01551112536446,106.51.70.179,2023-06-28 05:31:06.187693 UTC,2023-06-28 05:31:21.187888 UTC,ndt-virtual-xdlz5_1686334800_00000000001CC991,0 days 00:00:15.000195
ndt-virtual-n24tb_1686264298_00000000000BD8F6,2023-06-28,209.0,ndt-virtual-n24tb_1686264298_00000000000BD8F6,2023-06-28 13:36:05.042646 UTC,bbr,0.4444034210435093,394.951,0.0,71.210.106.217,2023-06-28 13:36:05.042590 UTC,2023-06-28 13:36:20.043505 UTC,ndt-virtual-n24tb_1686264298_00000000000BD8F6,0 days 00:00:15.000915
ndt-virtual-xt7r7_1686340294_00000000000E736D,2023-06-28,30722.0,ndt-virtual-xt7r7_1686340294_00000000000E736D,2023-06-28 11:56:14.836576 UTC,bbr,3.2374131927346124,30.195,0.1895732227956703,5.91.57.26,2023-06-28 11:56:14.836543 UTC,2023-06-28 11:56:29.837047 UTC,ndt-virtual-xt7r7_1686340294_00000000000E736D,0 days 00:00:15.000504
ndt-virtual-l9nnn_1686340308_0000000000079C23,2023-06-28,9009.0,ndt-virtual-l9nnn_1686340308_0000000000079C23,2023-06-28 03:51:59.825529 UTC,bbr,26.323297040510727,94.178,0.0,146.70.141.22,2023-06-28 03:51:59.825457 UTC,2023-06-28 03:52:14.825668 UTC,ndt-virtual-l9nnn_1686340308_0000000000079C23,0 days 00:00:15.000211
ndt-virtual-xkjf4_1686341515_00000000000AAD2D,2023-06-28,39891.0,ndt-virtual-xkjf4_1686341515_00000000000AAD2D,2023-06-28 08:59:19.178444 UTC,bbr,0.2807491769385885,122.0,0.3412957746478873,51.235.253.200,2023-06-28 08:59:19.178382 UTC,2023-06-28 08:59:34.179037 UTC,ndt-virtual-xkjf4_1686341515_00000000000AAD2D,0 days 00:00:15.000655
ndt-virtual-qghgv_1686333810_00000000000C39FB,2023-06-28,266181.0,ndt-virtual-qghgv_1686333810_00000000000C39FB,2023-06-28 14:27:49.588059 UTC,bbr,8.047344149717933,7.667,0.0031297232791922,186.233.119.81,2023-06-28 14:27:49.588010 UTC,2023-06-28 14:28:04.588144 UTC,ndt-virtual-qghgv_1686333810_00000000000C39FB,0 days 00:00:15.000134
