id,date,ASNumber,UUID,TestTime,CongestionControl,MeanThroughputMbps,MinRTT,LossRate,ClientIP,StartTime,EndTime,DownloadUUID,duration,ArchiveURL,Filename,processed
ndt-rp8zk_1665041664_000000000034ED90,2022-10-29,55824.0,ndt-rp8zk_1665041664_000000000034ED90,2022-10-29 08:02:08.555512 UTC,bbr,0.0,0.0,0.0,14.139.183.119,2022-10-29 08:02:08.555486 UTC,2022-10-29 08:02:23.555702 UTC,ndt-rp8zk_1665041664_000000000034ED90,0 days 00:00:15.000216,gs://archive-measurement-lab/ndt/pcap/2022/10/29/20221029T080326.785208Z-pcap-mlab3-maa01-ndt.tgz,2022/10/29/ndt-rp8zk_1665041664_000000000034ED90.pcap.gz,True
ndt-gr47d_1667005677_000000000000BBCD,2022-10-29,9443.0,ndt-gr47d_1667005677_000000000000BBCD,2022-10-29 21:53:16.482575 UTC,bbr,0.0,0.0,0.0,122.150.33.36,2022-10-29 21:53:16.482349 UTC,2022-10-29 21:53:31.482501 UTC,ndt-gr47d_1667005677_000000000000BBCD,0 days 00:00:15.000152,gs://archive-measurement-lab/ndt/pcap/2022/10/29/20221029T221839.555953Z-pcap-mlab1-syd04-ndt.tgz,2022/10/29/ndt-gr47d_1667005677_000000000000BBCD.pcap.gz,True
ndt-rp8zk_1665041664_000000000035BEA4,2022-10-29,55824.0,ndt-rp8zk_1665041664_000000000035BEA4,2022-10-29 15:46:03.776490 UTC,bbr,0.0,0.0,0.0,14.139.187.225,2022-10-29 15:46:03.776455 UTC,2022-10-29 15:46:18.776537 UTC,ndt-rp8zk_1665041664_000000000035BEA4,0 days 00:00:15.000082,gs://archive-measurement-lab/ndt/pcap/2022/10/29/20221029T154724.508119Z-pcap-mlab3-maa01-ndt.tgz,2022/10/29/ndt-rp8zk_1665041664_000000000035BEA4.pcap.gz,True
ndt-bjs5r_1666748357_0000000000034B2C,2022-10-29,14061.0,ndt-bjs5r_1666748357_0000000000034B2C,2022-10-29 19:03:12.627449 UTC,bbr,0.0,0.0,0.0,68.183.76.246,2022-10-29 19:03:12.627422 UTC,2022-10-29 19:03:27.628269 UTC,ndt-bjs5r_1666748357_0000000000034B2C,0 days 00:00:15.000847,gs://archive-measurement-lab/ndt/pcap/2022/10/29/20221029T191102.189743Z-pcap-mlab3-fra06-ndt.tgz,2022/10/29/ndt-bjs5r_1666748357_0000000000034B2C.pcap.gz,True
ndt-7q7r9_1665321849_00000000002E6A38,2022-10-29,18209.0,ndt-7q7r9_1665321849_00000000002E6A38,2022-10-29 12:54:53.024388 UTC,bbr,0.0,0.0,0.0,183.83.213.168,2022-10-29 12:54:53.024360 UTC,2022-10-29 12:55:08.024429 UTC,ndt-7q7r9_1665321849_00000000002E6A38,0 days 00:00:15.000069,gs://archive-measurement-lab/ndt/pcap/2022/10/29/20221029T125600.248313Z-pcap-mlab2-del01-ndt.tgz,2022/10/29/ndt-7q7r9_1665321849_00000000002E6A38.pcap.gz,True
ndt-lb8f5_1666845230_00000000000645D6,2022-10-29,132061.0,ndt-lb8f5_1666845230_00000000000645D6,2022-10-29 12:04:21.318019 UTC,bbr,0.0,0.0,0.0,223.24.94.38,2022-10-29 12:04:21.317987 UTC,2022-10-29 12:04:36.318095 UTC,ndt-lb8f5_1666845230_00000000000645D6,0 days 00:00:15.000108,gs://archive-measurement-lab/ndt/pcap/2022/10/29/20221029T120533.977297Z-pcap-mlab1-sin01-ndt.tgz,2022/10/29/ndt-lb8f5_1666845230_00000000000645D6.pcap.gz,True
ndt-hwgtp_1665360852_0000000000152C5A,2022-10-29,25135.0,ndt-hwgtp_1665360852_0000000000152C5A,2022-10-29 12:34:16.812828 UTC,bbr,0.0,0.0,0.0,148.252.129.134,2022-10-29 12:34:16.812804 UTC,2022-10-29 12:34:31.812902 UTC,ndt-hwgtp_1665360852_0000000000152C5A,0 days 00:00:15.000098,gs://archive-measurement-lab/ndt/pcap/2022/10/29/20221029T123547.433355Z-pcap-mlab3-lhr02-ndt.tgz,2022/10/29/ndt-hwgtp_1665360852_0000000000152C5A.pcap.gz,True
ndt-wbh99_1667022726_000000000000566D,2022-10-29,13489.0,ndt-wbh99_1667022726_000000000000566D,2022-10-29 18:02:24.864237 UTC,bbr,0.0,0.0,0.0,181.205.222.126,2022-10-29 18:02:24.864152 UTC,2022-10-29 18:02:39.864618 UTC,ndt-wbh99_1667022726_000000000000566D,0 days 00:00:15.000466,gs://archive-measurement-lab/ndt/pcap/2022/10/29/20221029T182406.791317Z-pcap-mlab2-bog03-ndt.tgz,2022/10/29/ndt-wbh99_1667022726_000000000000566D.pcap.gz,True
ndt-kdfhf_1666802319_000000000002B098,2022-10-29,268581.0,ndt-kdfhf_1666802319_000000000002B098,2022-10-29 14:01:09.819685 UTC,bbr,0.0,0.0,0.0,45.140.192.177,2022-10-29 14:01:09.819634 UTC,2022-10-29 14:01:24.819746 UTC,ndt-kdfhf_1666802319_000000000002B098,0 days 00:00:15.000112,gs://archive-measurement-lab/ndt/pcap/2022/10/29/20221029T140314.139213Z-pcap-mlab3-gru03-ndt.tgz,2022/10/29/ndt-kdfhf_1666802319_000000000002B098.pcap.gz,True
ndt-m2vt4_1665257166_00000000000E843E,2022-10-29,133612.0,ndt-m2vt4_1665257166_00000000000E843E,2022-10-29 06:00:50.916000 UTC,bbr,0.0,0.0,0.0,120.16.230.48,2022-10-29 06:00:50.915828 UTC,2022-10-29 06:01:05.915850 UTC,ndt-m2vt4_1665257166_00000000000E843E,0 days 00:00:15.000022,gs://archive-measurement-lab/ndt/pcap/2022/10/29/20221029T060208.995704Z-pcap-mlab2-per01-ndt.tgz,2022/10/29/ndt-m2vt4_1665257166_00000000000E843E.pcap.gz,True
