ts,is_downstream,packet_size,tcp_seq,tcp_flags
1673136314.226889,True,2446,3158233216,ACKPSH
1673136314.226903,True,2868,3158235610,ACKPSH
1673136314.22692,True,2868,3158238426,ACKPSH
1673136314.228729,True,2868,3158241242,ACKPSH
1673136314.229991,True,1460,3158244058,ACK
1673136314.244675,False,52,987898879,ACK
1673136314.24469,True,2868,3158245466,ACKPSH
1673136314.244827,False,52,987898879,ACK
1673136314.244828,False,52,987898879,ACK
1673136314.244898,False,52,987898879,ACK
1673136314.244898,False,52,987898879,ACK
1673136314.244966,False,52,987898879,ACK
1673136314.244966,False,52,987898879,ACK
1673136314.245334,True,2868,3158248282,ACKPSH
1673136314.246606,True,2868,3158251098,ACKPSH
1673136314.246645,False,52,987898879,ACK
1673136314.246703,False,52,987898879,ACK
1673136314.247871,True,2868,3158253914,ACKPSH
1673136314.248046,False,52,987898879,ACK
1673136314.249133,True,2868,3158256730,ACKPSH
1673136314.250396,True,2868,3158259546,ACKPSH
1673136314.251729,True,2868,3158262362,ACKPSH
1673136314.252927,True,2868,3158265178,ACKPSH
1673136314.254188,True,2868,3158267994,ACKPSH
1673136314.255461,True,2868,3158270810,ACKPSH
1673136314.265756,False,52,987898879,ACK
1673136314.265756,False,52,987898879,ACK
1673136314.265772,True,1460,3158273626,ACK
1673136314.265992,False,52,987898879,ACK
1673136314.265992,False,52,987898879,ACK
1673136314.266103,True,2868,3158275034,ACKPSH
1673136314.266874,False,52,987898879,ACK
1673136314.266949,False,52,987898879,ACK
1673136314.267382,True,2868,3158277850,ACKPSH
1673136314.267851,False,52,987898879,ACK
1673136314.267851,False,52,987898879,ACK
1673136314.268608,False,52,987898879,ACK
1673136314.268659,True,2868,3158280666,ACKPSH
1673136314.268677,False,52,987898879,ACK
1673136314.269005,False,52,987898879,ACK
1673136314.269006,False,52,987898879,ACK
1673136314.269895,True,2868,3158283482,ACKPSH
1673136314.270009,False,52,987898879,ACK
1673136314.270878,False,52,987898879,ACK
