ts,is_downstream,packet_size,tcp_seq,tcp_flags
1711562327.110772,True,114,926930741,ACKPSH
1711562327.110787,True,114,926933135,ACKPSH
1711562327.110799,True,114,926936715,ACKPSH
1711562327.115202,False,86,3328360489,ACK
1711562327.115217,True,114,926942267,ACKPSH
1711562327.115258,False,86,3328360489,ACK
1711562327.115447,False,86,3328360489,ACK
1711562327.115452,True,114,926945043,ACKPSH
1711562327.1155,False,86,3328360489,ACK
1711562327.115618,False,86,3328360489,ACK
1711562327.116251,True,114,926951983,ACKPSH
1711562327.1171,True,114,926958923,ACKPSH
1711562327.11795,True,114,926965863,ACKPSH
1711562327.119869,False,86,3328360489,ACK
1711562327.119885,True,114,926970027,ACKPSH
1711562327.120093,False,86,3328360489,ACK
1711562327.120281,False,86,3328360489,ACK
1711562327.120289,True,114,926974191,ACKPSH
1711562327.120752,False,86,3328360489,ACK
1711562327.120861,False,86,3328360489,ACK
1711562327.12101,True,114,926982519,ACKPSH
1711562327.121513,False,86,3328360489,ACK
1711562327.121588,False,86,3328360489,ACK
1711562327.121967,True,114,926992235,ACKPSH
1711562327.122922,True,114,927003339,ACKPSH
1711562327.142327,True,114,927006115,ACKPSH
1711562327.147691,False,86,3328360489,ACK
1711562327.147713,True,114,927013863,ACKPSH
1711562327.14821,True,114,927024967,ACKPSH
1711562327.14928,True,114,927036071,ACKPSH
1711562327.149383,True,114,927038039,ACKPSH
1711562327.150342,True,114,927049143,ACKPSH
1711562327.151286,True,114,927060247,ACKPSH
1711562327.152118,True,114,927069963,ACKPSH
1711562327.152196,False,86,3328360489,ACK
1711562327.152609,False,86,3328360489,ACK
1711562327.152805,True,114,927077991,ACKPSH
1711562327.153542,False,86,3328360489,ACK
1711562327.153761,False,86,3328360489,ACK
1711562327.153763,True,114,927089095,ACKPSH
1711562327.153918,False,86,3328360489,ACK
1711562327.154476,False,86,3328360489,ACK
1711562327.154551,False,86,3328360489,ACK
1711562327.154713,True,114,927100199,ACKPSH
1711562327.154842,True,114,927101887,ACKPSH
1711562327.155808,True,114,927114379,ACKPSH
1711562327.156561,True,114,927126871,ACKPSH
1711562327.156913,True,114,927133811,ACKPSH
1711562327.157828,True,114,927151855,ACKPSH
1711562327.178333,True,114,927165735,ACKPSH
1711562327.187438,False,86,3328360489,ACK
1711562327.187458,True,114,927176839,ACKPSH
1711562327.187937,True,114,927194883,ACKPSH
1711562327.188077,True,114,927197659,ACKPSH
1711562327.189003,True,114,927215703,ACKPSH
1711562327.189698,True,114,927229583,ACKPSH
1711562327.190613,True,114,927247627,ACKPSH
1711562327.191315,True,114,927261507,ACKPSH
1711562327.226332,True,114,927264283,ACK
1711562327.227213,False,86,3328360489,ACK
1711562327.227232,True,114,927265287,ACKPSH
1711562327.227712,True,114,927283331,ACKPSH
1711562327.228222,True,114,927293431,ACKPSH
1711562327.231178,False,98,3328360489,ACK
1711562327.267901,False,86,3328360489,ACK
1711562327.267921,True,114,927301127,ACKPSH
1711562327.269501,True,114,927319171,ACKPSH
1711562327.307691,False,86,3328360489,ACK
1711562327.347485,False,86,3328360489,ACK
1711562327.347517,True,114,927325355,ACKPSH
1711562327.34801,True,114,927333683,ACKPSH
1711562327.348982,True,114,927342011,ACKPSH
1711562327.387637,False,86,3328360489,ACK
1711562327.38766,True,114,927345707,ACKPSH
1711562327.38816,True,114,927354035,ACKPSH
1711562327.388539,True,114,927357279,ACKPSH
1711562327.389762,True,114,927365607,ACKPSH
1711562327.42801,False,86,3328360489,ACK
1711562327.428043,True,114,927369131,ACKPSH
1711562327.428541,True,114,927377459,ACKPSH
1711562327.429693,True,114,927385787,ACKPSH
1711562327.467998,False,86,3328360489,ACK
1711562327.468023,True,114,927389203,ACKPSH
1711562327.468526,True,114,927397531,ACKPSH
1711562327.469581,True,114,927405859,ACKPSH
1711562327.508321,False,86,3328360489,ACK
1711562327.58862,False,86,3328360489,ACK
1711562327.588643,True,114,927408531,ACKPSH
1711562327.589151,True,114,927416859,ACKPSH
1711562327.589646,True,114,927421127,ACKPSH
1711562327.590617,True,114,927429455,ACKPSH
1711562327.591595,True,114,927437783,ACKPSH
1711562327.628839,False,86,3328360489,ACK
1711562327.628868,True,114,927442323,ACKPSH
1711562327.629371,True,114,927450651,ACKPSH
