ts,is_downstream,packet_size,tcp_seq,tcp_flags
1673162119.247331,True,2446,2463643772,ACKPSH
1673162119.247341,True,2868,2463646166,ACKPSH
1673162119.247361,True,2868,2463648982,ACKPSH
1673162119.256143,True,2868,2463651798,ACKPSH
1673162119.26227,True,1460,2463654614,ACK
1673162119.350211,False,52,3656262220,ACK
1673162119.350221,True,2868,2463656022,ACKPSH
1673162119.350292,False,52,3656262220,ACK
1673162119.35032,False,52,3656262220,ACK
1673162119.353314,True,2868,2463658838,ACKPSH
1673162119.359459,True,2868,2463661654,ACKPSH
1673162119.365595,True,2868,2463664470,ACKPSH
1673162119.371728,True,2868,2463667286,ACKPSH
1673162119.377872,True,2868,2463670102,ACKPSH
1673162119.388718,False,52,3656262220,ACK
1673162119.388718,False,52,3656262220,ACK
1673162119.388734,True,2868,2463672918,ACKPSH
1673162119.391819,True,2868,2463675734,ACKPSH
1673162119.397969,True,2868,2463678550,ACKPSH
1673162119.404109,True,2868,2463681366,ACKPSH
1673162119.470605,False,52,3656262220,ACK
1673162119.470617,True,2868,2463684182,ACKPSH
1673162119.473701,True,2868,2463686998,ACKPSH
1673162119.476958,False,52,3656262220,ACK
1673162119.479844,True,2868,2463689814,ACKPSH
1673162119.485989,True,2868,2463692630,ACKPSH
1673162119.490534,False,52,3656262220,ACK
1673162119.492141,True,2868,2463695446,ACKPSH
1673162119.49828,True,2868,2463698262,ACKPSH
1673162119.500371,False,52,3656262220,ACK
1673162119.504425,True,2868,2463701078,ACKPSH
1673162119.51057,True,2868,2463703894,ACKPSH
1673162119.516714,True,2868,2463706710,ACKPSH
1673162119.520226,False,52,3656262220,ACK
1673162119.52052,False,52,3656262220,ACK
1673162119.522854,True,2868,2463709526,ACKPSH
1673162119.529003,True,2868,2463712342,ACKPSH
1673162119.535153,True,2868,2463715158,ACKPSH
1673162119.540337,False,52,3656262220,ACK
1673162119.540424,True,2868,2463717974,ACKPSH
1673162119.545705,True,2868,2463720790,ACKPSH
1673162119.550987,True,2868,2463723606,ACKPSH
1673162119.556253,True,2868,2463726422,ACKPSH
1673162119.561536,True,2868,2463729238,ACKPSH
1673162119.566819,True,2868,2463732054,ACKPSH
1673162119.577683,False,64,3656262220,ACK
1673162119.577695,True,1460,2463681366,ACK
1673162119.585289,False,64,3656262220,ACK
1673162119.585304,True,1460,2463682774,ACK
1673162119.585332,False,64,3656262220,ACK
1673162119.585428,False,64,3656262220,ACK
1673162119.586635,True,1460,2463684182,ACK
1673162119.589271,True,1460,2463685590,ACK
1673162119.591095,False,64,3656262220,ACK
1673162119.591644,False,64,3656262220,ACK
1673162119.591709,True,2868,2463686998,ACKPSH
1673162119.596569,True,2868,2463734870,ACKPSH
1673162119.599895,False,64,3656262220,ACK
1673162119.601434,True,2868,2463737686,ACKPSH
1673162119.603914,False,64,3656262220,ACK
1673162119.60582,True,2868,2463740502,ACKPSH
1673162119.610227,True,2868,2463743318,ACKPSH
1673162119.614634,True,2868,2463746134,ACKPSH
1673162119.618971,True,2868,2463748950,ACKPSH
1673162119.620802,False,64,3656262220,ACK
1673162119.6224,False,64,3656262220,ACK
1673162119.62332,True,1460,2463751766,ACK
1673162119.625472,True,2868,2463753174,ACKPSH
1673162119.629805,True,1460,2463755990,ACK
1673162119.631129,False,64,3656262220,ACK
1673162119.631783,True,2868,2463757398,ACKPSH
1673162119.63388,False,64,3656262220,ACK
1673162119.635745,True,2868,2463760214,ACKPSH
1673162119.639696,True,2868,2463763030,ACKPSH
1673162119.643514,True,2868,2463765846,ACKPSH
1673162119.647219,True,2868,2463768662,ACKPSH
1673162119.654229,False,72,3656262220,ACK
1673162119.65424,True,2868,2463771478,ACKPSH
1673162119.655304,True,1460,2463774294,ACK
1673162119.710813,False,72,3656262220,ACK
1673162119.710839,True,2868,2463775702,ACKPSH
1673162119.710927,False,72,3656262220,ACK
1673162119.711884,True,2868,2463778518,ACKPSH
1673162119.713958,True,1460,2463781334,ACK
1673162119.715007,True,2868,2463782742,ACKPSH
1673162119.717075,True,1460,2463785558,ACK
1673162119.720984,False,72,3656262220,ACK
1673162119.720984,False,64,3656262220,ACK
1673162119.720984,False,52,3656262220,ACK
1673162119.720984,False,52,3656262220,ACK
1673162119.721002,True,2868,2463786966,ACKPSH
1673162119.721028,False,52,3656262220,ACK
1673162119.721028,False,52,3656262220,ACK
1673162119.721039,False,52,3656262220,ACK
1673162119.721039,False,52,3656262220,ACK
1673162119.721659,False,52,3656262220,ACK
1673162119.721751,False,52,3656262220,ACK
1673162119.722053,True,1460,2463789782,ACK
1673162119.723095,True,2868,2463791190,ACKPSH
1673162119.724842,False,52,3656262220,ACK
1673162119.724842,False,52,3656262220,ACK
1673162119.724842,False,52,3656262220,ACK
1673162119.724924,False,52,3656262220,ACK
1673162119.724999,False,52,3656262220,ACK
1673162119.725167,True,2868,2463794006,ACKPSH
1673162119.72639,False,52,3656262220,ACK
1673162119.726666,False,52,3656262220,ACK
1673162119.726666,False,52,3656262220,ACK
1673162119.727258,True,2868,2463796822,ACKPSH
1673162119.729316,True,2868,2463799638,ACKPSH
1673162119.730262,False,52,3656262220,ACK
1673162119.730262,False,52,3656262220,ACK
1673162119.730352,False,52,3656262220,ACK
1673162119.730352,False,52,3656262220,ACK
1673162119.730859,False,52,3656262220,ACK
1673162119.730859,False,52,3656262220,ACK
1673162119.731399,True,2868,2463802454,ACKPSH
1673162119.733356,False,52,3656262220,ACK
1673162119.733473,True,2868,2463805270,ACKPSH
1673162119.733614,False,52,3656262220,ACK
1673162119.733614,False,52,3656262220,ACK
1673162119.733614,False,52,3656262220,ACK
1673162119.734539,False,52,3656262220,ACK
1673162119.734594,False,52,3656262220,ACK
1673162119.734702,False,52,3656262220,ACK
1673162119.735541,True,2868,2463808086,ACKPSH
1673162119.737539,True,2868,2463810902,ACKPSH
1673162119.739546,True,2868,2463813718,ACKPSH
1673162119.74103,True,2868,2463816534,ACKPSH
1673162119.742496,True,2868,2463819350,ACKPSH
1673162119.743976,True,2868,2463822166,ACKPSH
1673162119.745446,True,2868,2463824982,ACKPSH
1673162119.746943,True,2868,2463827798,ACKPSH
1673162119.748433,True,2868,2463830614,ACKPSH
1673162119.749907,True,2868,2463833430,ACKPSH
1673162119.751413,True,2868,2463836246,ACKPSH
1673162119.752869,True,2868,2463839062,ACKPSH
1673162119.75434,True,2868,2463841878,ACKPSH
1673162119.75583,True,2868,2463844694,ACKPSH
1673162119.757317,True,2868,2463847510,ACKPSH
1673162119.758803,True,1460,2463850326,ACK
1673162119.759538,True,2868,2463851734,ACKPSH
1673162119.761022,True,2868,2463854550,ACKPSH
1673162119.762503,True,2868,2463857366,ACKPSH
1673162119.764009,True,2868,2463860182,ACKPSH
1673162119.765472,True,2868,2463862998,ACKPSH
1673162119.766963,True,2868,2463865814,ACKPSH
