ts,is_downstream,packet_size,tcp_seq,tcp_flags
1711542432.126737,True,114,731194665,ACKPSH
1711542432.127858,True,114,731197059,ACKPSH
1711542432.127862,True,114,731199835,ACKPSH
1711542432.127891,True,114,731200639,ACKPSH
1711542432.140396,True,114,731203415,ACKPSH
1711542432.305188,False,86,1871124264,ACK
1711542432.305204,True,114,731206191,ACKPSH
1711542432.305468,False,86,1871124264,ACK
1711542432.305529,False,86,1871124264,ACK
1711542432.306869,False,86,1871124264,ACK
1711542432.306955,False,86,1871124264,ACK
1711542432.306955,False,86,1871124264,ACK
1711542432.306973,False,86,1871124264,ACK
1711542432.307007,False,86,1871124264,ACK
1711542432.311479,True,114,731208967,ACKPSH
1711542432.319169,False,86,1871124264,ACK
1711542432.319212,False,86,1871124264,ACK
1711542432.323998,True,114,731211743,ACKPSH
1711542432.336527,True,114,731214519,ACKPSH
1711542432.349034,True,114,731217295,ACKPSH
1711542432.361552,True,114,731220071,ACKPSH
1711542432.374069,True,114,731222847,ACKPSH
1711542432.386578,True,114,731225623,ACK
1711542432.392837,True,114,731227011,ACKPSH
1711542432.405349,True,114,731229787,ACKPSH
1711542432.417869,True,114,731232563,ACK
1711542432.484118,False,86,1871124264,ACK
1711542432.484132,True,114,731233951,ACKPSH
1711542432.484222,False,86,1871124264,ACK
1711542432.490244,False,86,1871124264,ACK
1711542432.490244,False,86,1871124264,ACK
1711542432.490408,True,114,731236727,ACKPSH
1711542432.501801,True,114,731239503,ACKPSH
1711542432.502827,False,86,1871124264,ACK
1711542432.502904,False,86,1871124264,ACK
1711542432.513198,True,114,731242279,ACKPSH
1711542432.515304,False,86,1871124264,ACK
1711542432.515459,False,86,1871124264,ACK
1711542432.523986,True,114,731245055,ACKPSH
1711542432.527931,False,86,1871124264,ACK
1711542432.527931,False,86,1871124264,ACK
1711542432.534763,True,114,731247831,ACKPSH
1711542432.540323,False,86,1871124264,ACK
1711542432.540354,False,86,1871124264,ACK
1711542432.54539,True,114,731250607,ACKPSH
1711542432.552817,False,86,1871124264,ACK
1711542432.55287,False,86,1871124264,ACK
1711542432.556006,True,114,731253383,ACKPSH
1711542432.565265,False,86,1871124264,ACK
1711542432.566645,True,114,731256159,ACKPSH
1711542432.571532,False,86,1871124264,ACK
1711542432.571617,False,86,1871124264,ACK
1711542432.577271,True,114,731258935,ACKPSH
1711542432.58411,False,86,1871124264,ACK
1711542432.587907,True,114,731261711,ACKPSH
1711542432.598517,True,114,731264487,ACKPSH
1711542432.608921,True,114,731267263,ACK
1711542432.613808,True,114,731268651,ACKPSH
1711542432.623553,True,114,731271427,ACKPSH
1711542432.633327,True,114,731274203,ACKPSH
1711542432.637851,False,86,1871124264,ACK
1711542432.643066,True,114,731276979,ACKPSH
1711542432.652838,True,114,731279755,ACKPSH
1711542432.662602,True,114,731282531,ACKPSH
1711542432.662988,False,86,1871124264,ACK
1711542432.669254,False,86,1871124264,ACK
1711542432.67236,True,114,731285307,ACKPSH
