ts,is_downstream,packet_size,tcp_seq,tcp_flags
1704566258.044702,True,114,405788620,ACKPSH
1704566258.044726,True,114,405791014,ACKPSH
1704566258.044747,True,114,405793770,ACKPSH
1704566258.046282,True,114,405796526,ACKPSH
1704566258.047357,True,114,405799282,ACK
1704566258.059576,False,86,258298228,ACK
1704566258.059583,True,114,405800660,ACKPSH
1704566258.059954,False,86,258298228,ACK
1704566258.059954,False,86,258298228,ACK
1704566258.059954,False,86,258298228,ACK
1704566258.059954,False,86,258298228,ACK
1704566258.059954,False,86,258298228,ACK
1704566258.059954,False,86,258298228,ACK
1704566258.060136,True,114,405803416,ACKPSH
1704566258.061213,True,114,405806172,ACKPSH
1704566258.06155,False,86,258298228,ACK
1704566258.06155,False,86,258298228,ACK
1704566258.062286,True,114,405808928,ACKPSH
1704566258.062566,False,86,258298228,ACK
1704566258.063377,True,114,405811684,ACKPSH
1704566258.064442,True,114,405814440,ACKPSH
1704566258.065518,True,114,405817196,ACKPSH
1704566258.066589,True,114,405819952,ACKPSH
1704566258.067665,True,114,405822708,ACKPSH
1704566258.06874,True,114,405825464,ACKPSH
1704566258.074844,False,86,258298228,ACK
1704566258.074844,False,86,258298228,ACK
1704566258.074853,True,114,405828220,ACKPSH
1704566258.075415,True,114,405830976,ACKPSH
1704566258.075423,False,86,258298228,ACK
1704566258.075423,False,86,258298228,ACK
1704566258.076381,True,114,405833732,ACKPSH
1704566258.076437,False,86,258298228,ACK
1704566258.076437,False,86,258298228,ACK
1704566258.077351,True,114,405836488,ACKPSH
1704566258.077538,False,86,258298228,ACK
1704566258.077538,False,86,258298228,ACK
1704566258.078264,True,114,405839244,ACKPSH
1704566258.078664,False,86,258298228,ACK
1704566258.078664,False,86,258298228,ACK
1704566258.079153,True,114,405842000,ACKPSH
1704566258.0796,False,86,258298228,ACK
1704566258.0796,False,86,258298228,ACK
1704566258.080037,True,114,405844756,ACKPSH
1704566258.080695,False,86,258298228,ACK
1704566258.080695,False,86,258298228,ACK
1704566258.080926,True,114,405847512,ACKPSH
1704566258.081708,False,86,258298228,ACK
1704566258.081708,False,86,258298228,ACK
1704566258.08182,True,114,405850268,ACKPSH
1704566258.082709,True,114,405853024,ACKPSH
1704566258.082828,False,86,258298228,ACK
1704566258.082828,False,86,258298228,ACK
1704566258.083602,True,114,405855780,ACKPSH
1704566258.083915,False,86,258298228,ACK
1704566258.083915,False,86,258298228,ACK
1704566258.084437,True,114,405858536,ACKPSH
1704566258.085272,True,114,405861292,ACKPSH
1704566258.086062,True,114,405864048,ACKPSH
1704566258.086812,True,114,405866804,ACKPSH
1704566258.087557,True,114,405869560,ACKPSH
1704566258.088304,True,114,405872316,ACKPSH
1704566258.089054,True,114,405875072,ACKPSH
1704566258.089804,True,114,405877828,ACKPSH
1704566258.090124,False,86,258298228,ACK
1704566258.090124,False,86,258298228,ACK
1704566258.090546,True,114,405880584,ACKPSH
1704566258.0907,False,86,258298228,ACK
1704566258.090765,False,86,258298228,ACK
1704566258.091295,True,114,405883340,ACKPSH
1704566258.09158,False,86,258298228,ACK
1704566258.09158,False,86,258298228,ACK
1704566258.092063,True,114,405887474,ACKPSH
1704566258.092703,False,86,258298228,ACK
1704566258.092703,False,86,258298228,ACK
1704566258.092834,True,114,405891608,ACK
1704566258.093068,True,114,405892986,ACKPSH
1704566258.093477,False,86,258298228,ACK
1704566258.093477,False,86,258298228,ACK
1704566258.093817,True,114,405897120,ACKPSH
1704566258.094249,False,86,258298228,ACK
1704566258.094249,False,86,258298228,ACK
1704566258.094558,True,114,405901254,ACKPSH
1704566258.095261,False,86,258298228,ACK
1704566258.095261,False,86,258298228,ACK
1704566258.095299,True,114,405905388,ACKPSH
1704566258.096149,False,86,258298228,ACK
1704566258.096149,False,86,258298228,ACK
1704566258.096252,True,114,405910900,ACKPSH
1704566258.097115,False,86,258298228,ACK
1704566258.097115,False,86,258298228,ACK
1704566258.097195,True,114,405916412,ACKPSH
1704566258.097931,False,86,258298228,ACK
1704566258.097931,False,86,258298228,ACK
1704566258.098131,True,114,405921924,ACKPSH
1704566258.098696,False,86,258298228,ACK
1704566258.098696,False,86,258298228,ACK
1704566258.099056,True,114,405927436,ACKPSH
1704566258.099612,False,86,258298228,ACK
1704566258.099612,False,86,258298228,ACK
1704566258.099981,True,114,405932948,ACKPSH
1704566258.100447,True,114,405935704,ACKPSH
1704566258.100483,False,86,258298228,ACK
1704566258.100483,False,86,258298228,ACK
1704566258.10128,False,86,258298228,ACK
1704566258.10128,False,86,258298228,ACK
